
slabel,plabel,v
采掘工业,定义,从事自然资源开采的物质生产部门
加工工业,定义,对采掘品和农产品进行加工和再加工的物质生产部门
重工业,定义,生产各种生产资料的工业部门
轻工业,定义,生产各种生活资料的工业部门
工业生产,定义,工业生产主要在工厂里进行。在工厂里，劳动力（工人、技术人员）等利用动力（燃料、电力）和机械设备，将原材料制成产品。
地轴,定义,地球自转的假想轴，地轴穿过地心，与地球表面相交于两极点。
两极,定义,地轴同地球表面相交的两点叫两极。其中，对着北极星的一端是地球的北极，另一端是地球的南极。
纬线,定义,顺着东西方向，环绕地球仪一周的圆圈
经线,定义,地球仪上连接南北两极，并和纬线垂直相交的线
子午线,定义,地球仪上连接南北两极，并和纬线垂直相交的线
陆地水,定义,分布在陆地上的各种水体
陆地水体,定义,分布在陆地上的各种水体
陆地水体的关系,定义,它们之间的运动转化及其水源补给关系
纬度,定义,人们为了区别纬线而给纬线标注的度数
经度,定义,人们为了区别经线而给经线标注的度数
陆地,定义,地球表面未被水体淹没的部分
大陆,定义,面积广大的陆地
半岛,定义,陆地伸进海洋或湖泊的部分
地峡,定义,两端连接大块陆地，两侧濒临海洋的狭窄 陆地
岛屿,定义,面积较小的陆地
刀鱼,定义,面积较小的陆地
大洲,定义,大陆及其附近岛屿的总称
经纬网,定义,在地球仪上或地图上，经线和纬线相互交织，就构成了经纬网。
洋,定义,海洋的中心部分
海,定义,海洋的边缘部分
海峡,定义,沟通两个海洋之间的狭窄水道
内海,定义,四周被陆地包围，仅有海峡与大洋相通的海
海峡,定义,沟通两个海洋之间的狭窄水道，它往往成为重要的海上航道
大陆架,定义,靠近大陆的浅海地区，大陆向海洋的自然延伸部分，深度一般不超过200米
大陆坡,定义,大陆架外缘的巨大陡坡，水深从几百米陡增到几千米
洋底地形,定义,大陆坡外，由洋盆、海沟、海岭等地形构成
相对高度,定义,一个地点高出另一个地点的垂直距离
山地,定义,示坡线画在地势下降的一侧
盆地,定义,示坡线画在等高线内侧，坡度向内侧降低
山脊,定义,山脊线也叫分水线
山谷,定义,山谷线也叫集水线
鞍部,定义,鞍部是山谷线最高处，山脊线最低处
工业区位,定义,决策者在选择工厂区位时，需要考虑很多因素。从经济利益看，工厂应当选择在具有明显优势条件的地方，以花费最低的生产成本获得最高利润。不同的工业部门，其生产过程和生产特点不同，生产投入的要素不同，生产成本的构成也就不一样。因此，区位选择时需要考虑的主导因素各不相同。
暖流,定义,由水温高的海区流向水温低的海区的洋流
寒流,定义,由水温低的海区流向水温高的海区的洋流
地形剖面图,定义,地形剖面图是以等高线地形图为基础转绘成的。它是沿等高线地形图某条线下切而显露出来的地形垂直剖面。地形剖面图可以直观地表示地面上沿某一方向地形的起伏状况。
传统工业区,定义,传统工业区一般是指发展历史比较悠久的丁.业地域，很多是在丰富的煤、铁资源基础上，以煤炭、钢铁、机械、化工、纺织等传统工业为主，以大型工业企业为核心，逐渐发展起来的工业地域
新工业区,定义,20世纪50年代之后，在传统工业区衰落的同时，发达国家一些没有传统工业基础的乡村地区，逐渐形成了以灵活多变的中小型企业为主的工业地域。相对于传统工业区而言，人们把这些工业地域称为新工业区。
人地关系,定义,“人地关系”就是指人与地理环境之间的相互作用，相互联系。人类社会不停地向前发展，人类为了生存的需要，不断地扩大和改造利用地理环境，增强适应地理环境的能力，改变地理环境的面貌。同时，地理环境也更加深刻地影响着人类活动的地域特征和地域差异。
环境人口容量,定义,一个国家或地区的环境人口容量，是在可预见的时期内，利用本地资源及其他资源、智力和技术等条件，在保证符合社会文化准则的物质生活水平条件下，该国家或地区所能持续供养的人口数量。
城市形态,定义,每个城市总是占据一定的空间，有着特定的外部轮廓形状，被称为城市形态。
黑子,定义,太阳表层温度较低的大气区域，看上去颜色暗一些，故称黑子
耀斑,定义,"太阳黑子活动的区域突然连在一起，释放出大量的能量,这种能量把太阳上相应区域的气体加热到上百万摄氏度,会突然猛烈爆发并有增亮的现象"
日珥,定义,太阳表层经常有巨大的“火焰”喷射物向外伸展，叫做日珥
太阳风,定义,太阳表层向外抛出的高能带电粒子流
恒星日,定义,某地经线连续两次通过同一恒星与地心连线的时间间隔
太阳日,定义,某地经线连续两次与日地中心连线相交的时间间隔
地球公转,定义,地球绕太阳的运动
昼弧,定义,地球上的纬线，一般被晨昏线分成两个部分。位于昼半球的部分叫昼弧
内力作用,定义,能量来自地球内部，能够引起地表形态、地壳的组成物质和内部结构发生改变的地质作用
水平运动,定义,组成地壳的岩层沿平行于地球表面的方向运动
垂直运动,定义,组成地壳的岩层沿垂直于地球表面的方向运动
升降运动,定义,组成地壳的岩层沿垂直于地球表面的方向运动
变质作用,定义,岩石在一定的温度、压力下发生变质
岩浆活动,定义,岩浆侵入岩石圈上部或喷出地表
外力作用,定义,在地球表面的风、流水、冰川、生物等作用下，引起地表形态的变化的地质作用
褶皱,定义,在地壳运动产生的强大挤压作用下，岩层会发生塑性变形，产生一系列的波状弯曲
向斜,定义,岩层向下弯曲
背斜,定义,岩层向上洪起
正午太阳高度,定义,一天中太阳高度最大值出现在正午，称为正午太阳高度角
春,定义,冬季到夏季的过渡季节
夏,定义,白昼最长，太阳最高，获得太阳辐射最多的季节
秋,定义,夏季到冬季的过渡季节
冬,定义,白昼最短，太阳最低，获得太阳辐射最少的季节
摩擦力,定义,地面与空气之间，以及运动状况不同的空气层之间相互作用而产生的阻力
地转偏向力,定义,促使物体水平运动方向产生偏转的力
水平气压梯度力,定义,促使大气由高气压区流向低气压区的力
大气圈,定义,包裹地球的气体层
水圈,定义,地球表层水体构成的连续但不规则的圈层
生物圈,定义,地球表层的生物及其生存环境的总称
锋,定义,冷暖气团的交界面叫锋面，其水平范围可由数百千米到数千千米。由于冷空气的密度较大，锋面自地面向高空冷气团一侧倾斜。锋面与地面相交的线叫锋线。锋面与锋线统称为锋
冷锋,定义,冷气团主动向暖气团方向移动的锋
暖锋,定义,暖气团主动向冷气团方向移动的锋
准静止锋,定义,冷暖气团势力相当、移动缓慢的锋
断层,定义,当地壳运动产生强大的压力和张力，超过岩石的承受能力时，岩体就会破裂，两侧的岩体沿断裂面发生明显的位移形成断层
断块山,定义,由断层发育而成的山岭
火山,定义,处于地下深处的岩浆，在巨大的压力作用下，有时候会沿着地壳的薄弱地带喷出地表。如果岩浆沿着地壳的中央喷出口或管道喷出，往往会形成火山
火山口,定义,地下岩浆上涌喷出地表的出口
火山口,定义,由火山碎屑物质和喷涌出来的岩浆在流动过程中堆积而成的锥形体
可持续发展,定义,既满足当代人的需求，而又不危及后代人满足其需求的发展
侧蚀,定义,垂直于两侧河岸的侵蚀
溯源侵蚀,定义,向河流源头方向的侵蚀
下蚀,定义,垂直于地面的侵蚀
河流堆积地貌,定义,被河流搬运的物质，在河流搬运能力减弱的情况下，会沉积下来，形成堆积地貌
大农业,定义,包括种植业、林业（指造林等）、畜牧业（畜禽饲养）、副业（指采集、捕猎、农民家庭兼营工业）和渔业（水产品捕捞、养殖）等。
自然地理环境的整体性,定义,地球表面组成地理环境的大气、水、岩石、地形、生物和土壤等地理要素相互联系、相互制约和相互渗透，构成了地理环境的整体性
生产功能,定义,自然环境合成有机物的能力
平衡功能,定义,通过物质与能量交换使自然环境性质保持稳定的能力
自然带,定义,陆地上不同的地区，由于所处的纬度位置、海陆位置互不相同，水热组合不同，形成不同的气候类型。不同的气候类型，又形成与之相对应的植被类型和土壤类型。相应的气候、植被和土壤共同形成具有一定宽度、呈带状分布的陆地自然带
城市内部空间结构,定义,在城市中，不同功能区的分布和组成构成了城市内部的空间结构
城市地域结构,定义,在城市中，不同功能区的分布和组成构成了城市内部的空间结构
城市化,定义,城市化是指人口和产业活动在空间上集聚，乡村地区转变为城市地区的过程。城市化是社会经济发展的必然结果，是社会进步的表现。一个国家或地区城市化的水平，体现出其社会经济的发展水平。
产业转移,定义,企业将产品生产的部分或全部由原生产地转移到其他地区的现象
能源,定义,可以为人类社会生产和生活提供动力的自然资源
水体富营养化,定义,生物所需要的氮、磷等营养元素大量进入水体引起的水质恶化现象
重金属污染,定义,各类重金属（汞、镉、铅、铬等）进入水体经食物链逐渐积累造成人畜伤害
海洋石油污染,定义,近海石油的开采、加工和运输过程中，大量石油流失到海洋中造成范围极广的污染现象
城市垃圾,定义,指居民生活、商业活动、市政建设与维护、机关团体办公等过程中产生的废弃物，一般包括生活垃圾、城建渣土、商业固体废弃物、粪便等
工业固体废弃物,定义,数量最大。主要是采矿业、电力工业、冶金工业、化学、建材、机械加工等排出及产生的煤矸石、锅炉渣、钢渣、有色金属废渣等
