
slabel,p,o
北极地区,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,寒冷
热带雨林气候,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,终年高温多雨
地中海气候,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,冬季温和多雨，夏季炎热干燥
亚马孙平原,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,全年高温多雨
热带雨林气候,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,全年高温多雨
西北地区,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,深居内陆，属于典型的温带大陆性气候。冬冷夏热，气温日较差和年较差大。降水稀少，年降水量少于400毫米，气候干燥。降水量从东到西逐渐减少
青藏地区,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,气候寒冷，冬寒夏凉，太阳辐射强烈，但是因为海拔高，故是我国夏季气温最低的地区。降水季节分配不均，年降水量由东南向西北递减
南极地区,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,酷寒、干燥、烈风，是世界上最冷的地区，南极洲大部分地区覆盖着很厚的冰层，平均厚度2000多米
南极地区,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,酷寒、干燥、烈风
东北地区,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,"东北三省气候冷湿。大部分地区冬季漫长严寒，夏季短促温暖。大兴安岭北部地区长冬无夏，只有南部的辽东半岛冬季较短。东北三省降水集中在夏季，冬季降雪较多
形成原因：东北三省纬度较高，太阳斜射较厉害，获得的太阳光热较少；同时，东北三省又紧邻冬季风源地蒙古和西伯利亚地区，冬季风进一步加剧了东北三省的严寒"
地中海气候,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,夏季炎热干燥，冬季温和多雨
澳大利亚,http://edukb.org/knowledge/0.1/property/geo#qihoutezheng,气温高。气候成因：南回归线穿过中部，以热带和亚热带气候为主
