纬线	形状	圆形；每一条纬线自成圆圈；只有赤道（最大的纬线圈）能平分地球


地球	赤道半径	6378千米


地球	赤道周长	约4万千米


地球	极半径	6357千米


地球	平均半径	6371千米


地球	经线圈周长	约4万千米


地球	表面积	5.1亿平方千米


畜牧业	分类标准	生产对象


大气水	占水圈比例	0．001%


暖流	作用	暖流起增温增湿作用，沿岸气候较为湿润


南极地区	海陆分布	中间是陆地（南极洲），周围是海洋(按逆时针方向依次是太平洋、印度洋、大西洋）


俄罗斯	陆地面积	1710


亚马孙河	长度	6480千米


大洋洲	半球分布	既跨南北半球，乂跨东西半球


纬度	始线	赤道（即0°纬线）


纬度	划分方法	从赤道向南北两极，分别划分为0°到90°；赤道以北为北纬，赤道以南为南纬；赤道为0°，北极是北纬90°，南极是南纬90°


纬度	代号	北纬用N、南纬用S


基督教	主要分布地区	欧洲、美洲、大洋洲


绿洲农业	主要影响因素	水源


北海道渔场	原因	日本暖流和千岛寒流交汇


台湾岛	面积排名	第一


比例尺	公式	比例尺=图上距离/实地距离


发达国家	工业特征	以生产高新技术产品为主，如计算机、移动通信设备、高级轿车等


发达国家	农业	以大规模机械化为主


发达国家	服务业	服务设施齐备完善，提倡个性化服务


三大宗教	发源地	亚洲


基督教	宗教建筑	基督教堂


白种人	肤色	白


白种人	头发	颜色一般较浅、呈波状


白种人	体毛	较多


白种人	面庞	鼻梁高，嘴唇薄


白种人	生态适应性	皮肤黑色素。量低，适应紫外线弱的辐射状况；鼻子高而窄，鼻孔通道较长，可使冷空气缓慢进入肺部；体毛稠密可以防寒


原料导向型工业	区位选择原则	接近原料产地


白种人	早期分布	较寒冷地区


风化作用	分布地区	普遍


山地	地形特征	四周低，中部高


传统工业的集聚	集聚结果	形成专业化的生产集聚地域（即传统工业区）


西西伯利亚区	面积	约占全区总面积的19%，其开发水平最高


中国	最北端	黑龙江省漠河以北的黑龙江主航道的中心线上（53°N多）


中国	最南端	在南海的南沙群岛中的曾母暗沙（4°N附近）


中国	最西端	在新疆的帕米尔高原上（73°E附近）


中国	最东端	黑龙江与乌苏里江主航道中心线的汇合处（135°E多）


纵波	方式	固体、液体、气体


莫斯科工业区	发展优势	原料、燃料大部分从外地运入


传统工业发展中的工业分散	目的	利用廉价的土地、原材料，占领市场，寻求最优区位，利于环境保护


传统工业区	地位	在各国以至世界工业发展过程中起过重要作用；目前仍是我国发展新兴工业的重要支撑点


传统工业区	现状	20世纪50年代以后，尤其是20世纪70年代以来，传统工业区经济开始衰落，为此，各国采取多种措施进行改造


鲁尔工业区	别名	德国工业的心脏


自发形成的工业地域	形成	以生产工序上的工业联系为基础，以降低生产成本为目的而自发地在地理空间上相互靠近


自发形成的工业地域	工业联系	生产工序上的工业联系密切


自发形成的工业地域	发展潜力	多为传统工业，结构较单一，改造困难


山地	地形分布	多分布于板块交界地带两大山系：阿尔卑斯—喜马拉雅山系、科迪勒拉山系（落基山脉一安第斯山脉）


朝鲜族	乐器	长鼓


